raw_city,raw_state,standardized_city,standardized_state,match_method
jurua,AM,Juruá,AM,municipio
jutai,AM,Jutaí,AM,municipio
labrea,AM,Lábrea,AM,municipio
lábrea,AM,Lábrea,AM,municipio
manacapuru,AM,Manacapuru,AM,municipio
manaquiri,AM,Manaquiri,AM,municipio
manaus,AM,Manaus,AM,municipio
manicore,AM,Manicoré,AM,municipio
manicoré,AM,Manicoré,AM,municipio
maraa,AM,Maraã,AM,municipio
maraã,AM,Maraã,AM,municipio
maues,AM,Maués,AM,municipio
maués,AM,Maués,AM,municipio
nhamunda,AM,Nhamundá,AM,municipio
nova olinda do norte,AM,Nova Olinda do Norte,AM,municipio
novo airao,AM,Novo Airão,AM,municipio
novo airão,AM,Novo Airão,AM,municipio
novo aripuana,AM,Novo Aripuanã,AM,municipio
novo aripuanã,AM,Novo Aripuanã,AM,municipio
parintins,AM,Parintins,AM,municipio
pauini,AM,Pauini,AM,municipio
presidente figueiredo,AM,Presidente Figueiredo,AM,municipio
rio preto da eva,AM,Rio Preto da Eva,AM,municipio
sao gabriel da cachoeira,AM,São Gabriel da Cachoeira,AM,municipio
sao paulo de olivenca,AM,São Paulo de Olivença,AM,municipio
sao sebastiao do uatuma,AM,São Sebastião do Uatumã,AM,municipio
silves,AM,Silves,AM,municipio
são paulo de olivença,AM,São Paulo de Olivença,AM,municipio
tabatinga,AM,Tabatinga,AM,municipio
tapaua,AM,Tapauá,AM,municipio
tapauá,AM,Tapauá,AM,municipio
tefe,AM,Tefé,AM,municipio
tefé,AM,Tefé,AM,municipio
tonantins,AM,Tonantins,AM,municipio
urucará,AM,Urucará,AM,municipio
urucurituba,AM,Urucurituba,AM,municipio
amapa,AP,Amapá,AP,municipio
amapari,AP,Pedra Branca do Amaparí,AP,viacep
calcoene,AP,Calçoene,AP,municipio
clevelandia do norte,AP,Oiapoque,AP,distrito
clevelândia do norte,AP,Oiapoque,AP,distrito
ferreira gomes,AP,Ferreira Gomes,AP,municipio
laranjal do jari,AP,Laranjal do Jari,AP,municipio
macapa,AP,Macapá,AP,municipio
macapá,AP,Macapá,AP,municipio
mazagao,AP,Mazagão,AP,municipio
oiapoque,AP,Oiapoque,AP,municipio
pedra branca do amapari,AP,Pedra Branca do Amapari,AP,municipio
porto grande,AP,Porto Grande,AP,municipio
santana,AP,Santana,AP,municipio
serra do navio,AP,Serra do Navio,AP,municipio
vitoria do jari,AP,Vitória do Jari,AP,municipio
vitória do jari,AP,Vitória do Jari,AP,municipio
abaira,BA,Abaíra,BA,municipio
abare,BA,Abaré,BA,municipio
abaré,BA,Abaré,BA,municipio
abaíra,BA,Abaíra,BA,municipio
abrantes,BA,Camaçari,BA,distrito
acajutiba,BA,Acajutiba,BA,municipio
acupe,BA,Santo Amaro,BA,distrito
adustina,BA,Adustina,BA,municipio
agua fria,BA,Água Fria,BA,municipio
aiquara,BA,Aiquara,BA,municipio
alagoinhas,BA,Alagoinhas,BA,municipio
alcobaca,BA,Alcobaça,BA,municipio
alcobaça,BA,Alcobaça,BA,municipio
algodões,BA,Quijingue,BA,distrito
almadina,BA,Almadina,BA,municipio
amargosa,BA,Amargosa,BA,municipio
amelia rodrigues,BA,Amélia Rodrigues,BA,municipio
america dourada,BA,América Dourada,BA,municipio
amélia rodrigues,BA,Amélia Rodrigues,BA,municipio
anage,BA,Anagé,BA,municipio
anagé,BA,Anagé,BA,municipio
andarai,BA,Andaraí,BA,municipio
andaraí,BA,Andaraí,BA,municipio
andorinha,BA,Andorinha,BA,municipio
angical,BA,Angical,BA,municipio
anguera,BA,Anguera,BA,municipio
antas,BA,Antas,BA,municipio
antonio cardoso,BA,Antônio Cardoso,BA,municipio
antonio goncalves,BA,Antônio Gonçalves,BA,municipio
antônio cardoso,BA,Antônio Cardoso,BA,municipio
antônio gonçalves,BA,Antônio Gonçalves,BA,municipio
apora,BA,Aporá,BA,municipio
aporá,BA,Aporá,BA,municipio
apuarema,BA,Apuarema,BA,municipio
aracas,BA,Araçás,BA,municipio
aracatu,BA,Aracatu,BA,municipio
araci,BA,Araci,BA,municipio
aramari,BA,Aramari,BA,municipio
arataca,BA,Arataca,BA,municipio
aratuipe,BA,Aratuípe,BA,municipio
aratuípe,BA,Aratuípe,BA,municipio
araçás,BA,Araçás,BA,municipio
arembepe,BA,Camaçari,BA,manual_review
aribice,BA,Euclides da Cunha,BA,distrito
arraial d ajuda,BA,Porto Seguro,BA,viacep
arraial d'ajuda,BA,Porto Seguro,BA,distrito
arraial d'ajuda (porto seguro),BA,Porto Seguro,BA,viacep
aurelino leal,BA,Aurelino Leal,BA,municipio
açu da torre,BA,Mata de São João,BA,distrito
bahia,BA,Paulo Afonso,BA,manual_review
baianopolis,BA,Baianópolis,BA,municipio
baixa grande,BA,Baixa Grande,BA,municipio
banzae,BA,Banzaê,BA,municipio
banzaê,BA,Banzaê,BA,municipio
barra,BA,Barra,BA,municipio
barra da estiva,BA,Barra da Estiva,BA,municipio
barra do choca,BA,Barra do Choça,BA,municipio
barra do choça,BA,Barra do Choça,BA,municipio
barra do jacuipe,BA,Camaçari,BA,viacep
barra do mendes,BA,Barra do Mendes,BA,municipio
barra do rocha,BA,Barra do Rocha,BA,municipio
barra do tarrachil,BA,Chorrochó,BA,viacep
barreiras,BA,Barreiras,BA,municipio
barro alto,BA,Barro Alto,BA,municipio
barro preto,BA,Barro Preto,BA,municipio
barrocas,BA,Barrocas,BA,municipio
batinga,BA,Itanhém,BA,distrito
belmonte,BA,Belmonte,BA,municipio
belo campo,BA,Belo Campo,BA,municipio
biritinga,BA,Biritinga,BA,municipio
boa nova,BA,Boa Nova,BA,municipio
boa uniao,BA,Alagoinhas,BA,distrito
boa vista do tupim,BA,Boa Vista do Tupim,BA,municipio
bom jesus da lapa,BA,Bom Jesus da Lapa,BA,municipio
bom jesus da serra,BA,Bom Jesus da Serra,BA,municipio
boninal,BA,Boninal,BA,municipio
bonito,BA,Bonito,BA,municipio
boquira,BA,Boquira,BA,municipio
botupora,BA,Botuporã,BA,municipio
botuporã,BA,Botuporã,BA,municipio
brejoes,BA,Brejões,BA,municipio
brejolandia,BA,Brejolândia,BA,municipio
brejolândia,BA,Brejolândia,BA,municipio
brejões,BA,Brejões,BA,municipio
brotas de macaubas,BA,Brotas de Macaúbas,BA,municipio
brotas de macaúbas,BA,Brotas de Macaúbas,BA,municipio
brumado,BA,Brumado,BA,municipio
buerarema,BA,Buerarema,BA,municipio
buritirama,BA,Buritirama,BA,municipio
caatiba,BA,Caatiba,BA,municipio
cabaceiras do paraguacu,BA,Cabaceiras do Paraguaçu,BA,municipio
cabaceiras do paraguaçu,BA,Cabaceiras do Paraguaçu,BA,municipio
cachoeira,BA,Cachoeira,BA,municipio
cacule,BA,Caculé,BA,municipio
caculé,BA,Caculé,BA,municipio
caem,BA,Caém,BA,municipio
caetanos,BA,Caetanos,BA,municipio
caetite,BA,Caetité,BA,municipio
caetité,BA,Caetité,BA,municipio
cafarnaum,BA,Cafarnaum,BA,municipio
cairu,BA,Cairu,BA,municipio
caldas do jorro,BA,Tucano,BA,viacep
caldeirao grande,BA,Caldeirão Grande,BA,municipio
caldeirão grande,BA,Caldeirão Grande,BA,municipio
camacan,BA,Camacan,BA,municipio
camacari,BA,Camaçari,BA,municipio
camamu,BA,Camamu,BA,municipio
camaçari,BA,Camaçari,BA,municipio
campo alegre de lourdes,BA,Campo Alegre de Lourdes,BA,municipio
"campo alegre de lourdes, bahia, brasil",BA,Campo Alegre de Lourdes,BA,viacep
campo formoso,BA,Campo Formoso,BA,municipio
canapolis,BA,Canápolis,BA,municipio
canarana,BA,Canarana,BA,municipio
canavieiras,BA,Canavieiras,BA,municipio
candeal,BA,Candeal,BA,municipio
candeias,BA,Candeias,BA,municipio
candiba,BA,Candiba,BA,municipio
candido sales,BA,Cândido Sales,BA,municipio
cansancao,BA,Cansanção,BA,municipio
cansanção,BA,Cansanção,BA,municipio
canudos,BA,Canudos,BA,municipio
canápolis,BA,Canápolis,BA,municipio
capela do alto alegre,BA,Capela do Alto Alegre,BA,municipio
capim grosso,BA,Capim Grosso,BA,municipio
caraibas,BA,Caraíbas,BA,municipio
caravelas,BA,Caravelas,BA,municipio
caraíbas,BA,Caraíbas,BA,municipio
cardeal da silva,BA,Cardeal da Silva,BA,municipio
carinhanha,BA,Carinhanha,BA,municipio
carnaiba do sertao,BA,Juazeiro,BA,distrito
casa nova,BA,Casa Nova,BA,municipio
castro alves,BA,Castro Alves,BA,municipio
catingal,BA,Manoel Vitorino,BA,distrito
catolândia,BA,Catolândia,BA,municipio
catu,BA,Catu,BA,municipio
catu de abrantes,BA,Camaçari,BA,manual_review
caturama,BA,Caturama,BA,municipio
caém,BA,Caém,BA,municipio
central,BA,Central,BA,municipio
chorrocho,BA,Chorrochó,BA,municipio
chorrochó,BA,Chorrochó,BA,municipio
cicero dantas,BA,Cícero Dantas,BA,municipio
cipo,BA,Cipó,BA,municipio
cipó,BA,Cipó,BA,municipio
coaraci,BA,Coaraci,BA,municipio
cocos,BA,Cocos,BA,municipio
conceicao da feira,BA,Conceição da Feira,BA,municipio
conceicao do almeida,BA,Conceição do Almeida,BA,municipio
conceicao do coite,BA,Conceição do Coité,BA,municipio
conceicao do jacuipe,BA,Conceição do Jacuípe,BA,municipio
conceição da feira,BA,Conceição da Feira,BA,municipio
conceição do almeida,BA,Conceição do Almeida,BA,municipio
conceição do coité,BA,Conceição do Coité,BA,municipio
conceição do jacuípe,BA,Conceição do Jacuípe,BA,municipio
conde,BA,Conde,BA,municipio
condeuba,BA,Condeúba,BA,municipio
condeúba,BA,Condeúba,BA,municipio
contendas do sincora,BA,Contendas do Sincorá,BA,municipio
contendas do sincorá,BA,Contendas do Sincorá,BA,municipio
coracao de maria,BA,Coração de Maria,BA,municipio
coração de maria,BA,Coração de Maria,BA,municipio
cordeiros,BA,Cordeiros,BA,municipio
coribe,BA,Coribe,BA,municipio
coronel joao sa,BA,Coronel João Sá,BA,municipio
coronel joão sá,BA,Coronel João Sá,BA,municipio
correntina,BA,Correntina,BA,municipio
cotegipe,BA,Cotegipe,BA,municipio
cravolandia,BA,Cravolândia,BA,municipio
cravolândia,BA,Cravolândia,BA,municipio
crisopolis,BA,Crisópolis,BA,municipio
cristopolis,BA,Cristópolis,BA,municipio
cristópolis,BA,Cristópolis,BA,municipio
crisópolis,BA,Crisópolis,BA,municipio
cruz das almas,BA,Cruz das Almas,BA,municipio
cumuruxatiba,BA,Prado,BA,distrito
curaca,BA,Curaçá,BA,municipio
curaçá,BA,Curaçá,BA,municipio
cândido sales,BA,Cândido Sales,BA,municipio
cícero dantas,BA,Cícero Dantas,BA,municipio
dario meira,BA,Dário Meira,BA,municipio
dias d avila,BA,Dias d'Ávila,BA,fuzzy
dias d'avila,BA,Dias d'Ávila,BA,municipio
dias d'ávila,BA,Dias d'Ávila,BA,municipio
dias davila,BA,Dias d'Ávila,BA,fuzzy
dias dávila,BA,Dias d'Ávila,BA,fuzzy
dom basilio,BA,Dom Basílio,BA,municipio
dom basílio,BA,Dom Basílio,BA,municipio
dom macedo costa,BA,Dom Macedo Costa,BA,municipio
dário meira,BA,Dário Meira,BA,municipio
elisio medrado,BA,Elísio Medrado,BA,municipio
encruzilhada,BA,Encruzilhada,BA,municipio
engenheiro franca,BA,Ubaíra,BA,distrito
entre rios,BA,Entre Rios,BA,municipio
erico cardoso,BA,Érico Cardoso,BA,municipio
esplanada,BA,Esplanada,BA,municipio
euclides da cunha,BA,Euclides da Cunha,BA,municipio
eunapolis,BA,Eunápolis,BA,municipio
eunápolis,BA,Eunápolis,BA,municipio
fatima,BA,Fátima,BA,municipio
feira da mata,BA,Feira da Mata,BA,municipio
feira de santana,BA,Feira de Santana,BA,municipio
filadelfia,BA,Filadélfia,BA,municipio
filadélfia,BA,Filadélfia,BA,municipio
firmino alves,BA,Firmino Alves,BA,municipio
floresta azul,BA,Floresta Azul,BA,municipio
formosa do rio preto,BA,Formosa do Rio Preto,BA,municipio
fátima,BA,Fátima,BA,municipio
gandu,BA,Gandu,BA,municipio
gaviao,BA,Gavião,BA,municipio
gentio do ouro,BA,Gentio do Ouro,BA,municipio
gloria,BA,Glória,BA,municipio
glória,BA,Glória,BA,municipio
gongogi,BA,Gongogi,BA,municipio
governador lomanto junior,BA,Barro Preto,BA,viacep
governador mangabeira,BA,Governador Mangabeira,BA,municipio
guajeru,BA,Guajeru,BA,municipio
guanambi,BA,Guanambi,BA,municipio
guaratinga,BA,Guaratinga,BA,municipio
heliopolis,BA,Heliópolis,BA,municipio
heliópolis,BA,Heliópolis,BA,municipio
humildes,BA,Feira de Santana,BA,distrito
iacu,BA,Iaçu,BA,municipio
iaçu,BA,Iaçu,BA,municipio
ibiajara,BA,Rio do Pires,BA,distrito
ibiassuce,BA,Ibiassucê,BA,municipio
ibiassucê,BA,Ibiassucê,BA,municipio
ibicarai,BA,Ibicaraí,BA,municipio
ibicaraí,BA,Ibicaraí,BA,municipio
ibicoara,BA,Ibicoara,BA,municipio
ibicui,BA,Ibicuí,BA,municipio
ibicuí,BA,Ibicuí,BA,municipio
ibipeba,BA,Ibipeba,BA,municipio
ibipitanga,BA,Ibipitanga,BA,municipio
ibiquera,BA,Ibiquera,BA,municipio
ibiraja,BA,Itanhém,BA,distrito
ibirajá,BA,Itanhém,BA,distrito
ibirapitanga,BA,Ibirapitanga,BA,municipio
ibirapua,BA,Ibirapuã,BA,municipio
ibirapuã,BA,Ibirapuã,BA,municipio
ibirataia,BA,Ibirataia,BA,municipio
ibitiara,BA,Ibitiara,BA,municipio
ibitira,BA,Rio do Antônio,BA,distrito
ibitita,BA,Ibititá,BA,municipio
ibititá,BA,Ibititá,BA,municipio
ibo,BA,Abaré,BA,distrito
ibotirama,BA,Ibotirama,BA,municipio
ichu,BA,Ichu,BA,municipio
igapora,BA,Igaporã,BA,municipio
igaporã,BA,Igaporã,BA,municipio
igrapiuna,BA,Igrapiúna,BA,municipio
igrapiúna,BA,Igrapiúna,BA,municipio
iguai,BA,Iguaí,BA,municipio
iguaibi,BA,Iguaí,BA,distrito
iguaí,BA,Iguaí,BA,municipio
ilheus,BA,Ilhéus,BA,municipio
ilhéus,BA,Ilhéus,BA,municipio
inhambupe,BA,Inhambupe,BA,municipio
inubia,BA,Piatã,BA,distrito
inúbia,BA,Piatã,BA,distrito
ipecaeta,BA,Ipecaetá,BA,municipio
ipecaetá,BA,Ipecaetá,BA,municipio
ipiau,BA,Ipiaú,BA,municipio
ipiaú,BA,Ipiaú,BA,municipio
ipira,BA,Ipirá,BA,municipio
ipirá,BA,Ipirá,BA,municipio
ipupiara,BA,Ipupiara,BA,municipio
irajuba,BA,Irajuba,BA,municipio
iramaia,BA,Iramaia,BA,municipio
iraporanga,BA,Iraquara,BA,distrito
iraquara,BA,Iraquara,BA,municipio
irara,BA,Irará,BA,municipio
irará,BA,Irará,BA,municipio
irece,BA,Irecê,BA,municipio
irecê,BA,Irecê,BA,municipio
irundiara,BA,Jacaraci,BA,distrito
itabata,BA,Mucuri,BA,distrito
itabatan,BA,Mucuri,BA,viacep
itabatan (mucuri),BA,Mucuri,BA,viacep
itabela,BA,Itabela,BA,municipio
itaberaba,BA,Itaberaba,BA,municipio
itabuna,BA,Itabuna,BA,municipio
itacare,BA,Itacaré,BA,municipio
itacaré,BA,Itacaré,BA,municipio
itaete,BA,Itaeté,BA,municipio
